Genus,species epithet,Concatenated,strict.dataset,multistate,relaxed.arboreal,toepads,substrate.1,substrate.2,substrate.3,Family,Ecology References (Meiri)
Ablepharus,budaki,Ablepharus_budaki,not.arboreal,not.arboreal,not.arboreal,0,Terrestrial,NA,NA,Scincidae,"Gocmen et al. 1996, Baier et al. 2009, Schmidtler 1997, Franzen et al. 2008"
Ablepharus,chernovi,Ablepharus_chernovi,not.arboreal,not.arboreal,not.arboreal,0,Saxicolous,NA,NA,Scincidae,"Szczerbak 2003, Baran and Atatur 1998, Schmidtler 1997, Arakelyan et al. 2011"
Ablepharus,kitaibelii,Ablepharus_kitaibelii,not.arboreal,not.arboreal,not.arboreal,0,Terrestrial,NA,NA,Scincidae,"Arnold and Ovenden 2004, Baran and Atatur 1998, Street 1979, Rogner 1997b, Atatur and Gocmen 2001, Herczeg et al. 2007, Valakos et al. 2008, Valakos et al. 2004, Arbel 1984, Kwet 2009, Kohler 2005, Schmidtler 1997, Stojanov et al. 2011, Tomovic et al. 2015, Speybroeck et al. 2016, Kwet 2015, Vergilov et al. 2016, Vergilov and Natchev 2017, Stille and Stille 2017, Vergilov et al. 2018"
Ablepharus,pannonicus,Ablepharus_pannonicus,not.arboreal,not.arboreal,not.arboreal,0,Terrestrial,NA,NA,Scincidae,"Smith 1935, Szczerbak 2003, Anderson 1999, Arnold 1972, Khan 2006, Clark 1990, Jongbloed 2000, Eremchenko 2007, Weber 1960, van der Kooij 2001, Fathinia et al. 2009, Grossmann et al. 2012, Ataev et al. 1994, Gardner 2013, Karamiani et al. 2018"
Abronia,anzuetoi,Abronia_anzuetoi,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell and Frost 1993, Kohler 2008"
Abronia,aurita,Abronia_aurita,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell and Frost 1993, Pianka and Vitt 2003, Campbell and Brodie 1999, Campbell 1982, Kohler 2008"
Abronia,campbelli,Abronia_campbelli,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Kohler 2008, Ariano-Sanchez and Torres-Almazan 2010"
Abronia,chiszari,Abronia_chiszari,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Campbell and Frost 1993, Kohler 2008, Perez-Higareda et al. 2002, Clause et al. 2016"
Abronia,fimbriata,Abronia_fimbriata,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell and Frost 1993, Pianka and Vitt 2003, Kohler 2008"
Abronia,frosti,Abronia_frosti,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell et al. 1998, Kohler 2008, Ariano-Sanchez et al. 2011"
Abronia,graminea,Abronia_graminea,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Fitch 1970, Wiens et al. 2006, Campbell and Frost 1993, Cooper and Bradley 2009, Zaldivar Riveron et al. 2002, Clause et al. 2016, Gonzalez-Porter et al. 2015, Clause et al. 2016"
Abronia,lythrochila,Abronia_lythrochila,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Fitch 1970, Kohler 2003, Campbell and Frost 1993, Campbell 1982, Kohler 2008, Zaldivar Riveron et al. 2002, Grunwald et al. 2016"
Abronia,matudai,Abronia_matudai,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell and Frost 1993, Kohler 2008, Zaldivar Riveron et al. 2002"
Abronia,mixteca,Abronia_mixteca,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Campbell and Frost 1993, Campbell 1982, Zaldivar Riveron et al. 2002, Garcia-Padilla et al. 2016, Ibarra-Contreras and Garcia-Padilla 2016, Aldape-Lopez and Santos-Moreno 2018"
Abronia,oaxacae,Abronia_oaxacae,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Wiens and Slingluff 2001, Campbell and Frost 1993, Campbell 1982, Tihen 1954, Zaldivar Riveron et al. 2002"
Abronia,ornelasi,Abronia_ornelasi,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Anguidae,"Kohler 2003, Campbell and Frost 1993, Campbell 1984, Kohler 2008, Zaldivar Riveron et al. 2002, Clause et al. 2016"
Acanthocercus,atricollis,Acanthocercus_atricollis,arboreal,arboreal,arboreal,0,Arboreal,NA,NA,Agamidae,"Spawls et al. 2002, Fitzsimons 1943, Reaney and Whiting 2002, Loveridge 1942, Branch 1998, Parker 1936, Jeffery 1993, Schmidt et al. 1919, Auerbach 1987, Manthey and Schuster 1996, Branch 2005, Largen and Spawls 2006, Vonesh 1998, Barts 2003, Kohler 2005, Largen and Spawls 2010, Pienaar 1966, Haagner et al. 2000, Curry-Lindahl 1979, Jacobsen 1982, Hughes 1988, Loveridge 1920, Zoffer 1996, Kenya Reptile Atlas (http://kenyareptileatlas.com/), Schleicher 2015, Branch 2016, Butler 2005"
Acanthodactylus,aureus,Acanthodactylus_aureus,not.arboreal,not.arboreal,not.arboreal,0,Terrestrial,NA,NA,Lacertidae,"Schleich et al. 1996, Geniez et al. 2004, Vanhooydonck and Van Damme 1999, Bons and Geniez 1996, Verwaijen and Van Damme 2008, Trape et al. 2012"
