"Concatenated","relaxed.arboreal","toepads"
"Ablepharus_budaki","0",0
"Ablepharus_chernovi","0",0
"Ablepharus_kitaibelii","0",0
"Ablepharus_pannonicus","0",0
"Abronia_anzuetoi","1",0
"Abronia_aurita","1",0
"Abronia_campbelli","1",0
"Abronia_chiszari","1",0
"Abronia_fimbriata","1",0
"Abronia_frosti","1",0
"Abronia_graminea","1",0
"Abronia_lythrochila","1",0
"Abronia_matudai","1",0
"Abronia_mixteca","1",0
"Abronia_oaxacae","1",0
"Abronia_ornelasi","1",0
"Acanthocercus_atricollis","1",0
"Acanthodactylus_aureus","0",0
"Acanthodactylus_beershebensis","0",0
"Acanthodactylus_blanci","0",0
"Acanthodactylus_boskianus","0",0
"Acanthodactylus_busacki","0",0
"Acanthodactylus_cantoris","0",0
"Acanthodactylus_erythrurus","0",0
"Acanthodactylus_gongrorhynchatus","0",0
"Acanthodactylus_longipes","0",0
"Acanthodactylus_maculatus","0",0
"Acanthodactylus_masirae","0",0
"Acanthodactylus_opheodurus","0",0
"Acanthodactylus_pardalis","0",0
"Acanthodactylus_schmidti","0",0
"Acanthodactylus_schreiberi","0",0
"Acanthodactylus_scutellatus","0",0
"Acanthodactylus_tristrami","0",0
"Acanthosaura_armata","1",0
"Acanthosaura_capra","1",0
"Acanthosaura_crucigera","1",0
"Acanthosaura_lepidogaster","1",0
"Acratosaura_mentalis","0",0
"Adolfus_africanus","1",0
"Adolfus_alleni","0",0
"Adolfus_jacksoni","1",0
"Aeluroscalabotes_felinus","1",0
"Afroedura_karroica","0",1
"Afroedura_pondolia","1",1
"Afrogecko_porphyreus","1",1
"Agama_aculeata","0",0
"Agama_agama","1",0
"Agama_anchietae","0",0
"Agama_armata","1",0
"Agama_atra","0",0
"Agama_boueti","0",0
"Agama_boulengeri","0",0
"Agama_caudospinosa","0",0
"Agama_doriae","0",0
"Agama_finchi","1",0
"Agama_gracilimembris","0",0
"Agama_hispida","0",0
"Agama_impalearis","0",0
"Agama_insularis","0",0
"Agama_kaimosae","0",0
"Agama_lionotus","1",0
"Agama_mwanzae","0",0
"Agama_paragama","1",0
"Agama_planiceps","0",0
"Agama_rueppelli","0",0
"Agama_sankaranica","0",0
"Agama_spinosa","0",0
"Agama_weidholzi","1",0
"Agamura_persica","0",0
"Ailuronyx_seychellensis","1",1
"Ailuronyx_tachyscopaeus","1",1
"Ailuronyx_trachygaster","1",1
"Algyroides_fitzingeri","0",0
"Algyroides_marchi","0",0
"Algyroides_moreoticus","0",0
"Algyroides_nigropunctatus","1",0
"Alopoglossus_angulatus","0",0
"Alopoglossus_atriventris","0",0
"Alopoglossus_copii","0",0
"Alsophylax_pipiens","0",0
"Amalosia_lesueurii","0",1
"Amalosia_obscura","0",1
"Amalosia_rhombifer","1",1
"Ameiva_ameiva","0",0
"Ameiva_bifrontata","0",0
"Ameivula_ocellifera","0",0
"Amphibolurus_muricatus","1",0
"Amphibolurus_norrisi","1",0
"Amphiglossus_astrolabi","0",0
"Amphiglossus_reticulatus","0",0
"Anatololacerta_anatolica","0",0
"Anatololacerta_danfordi","0",0
"Anisolepis_longicauda","1",0
"Anolis_acutus","1",1
"Anolis_aeneus","1",1
"Anolis_aequatorialis","1",1
"Anolis_agassizi","0",1
"Anolis_ahli","1",1
"Anolis_alayoni","1",1
"Anolis_alfaroi","1",1
"Anolis_aliniger","1",1
"Anolis_allisoni","1",1
"Anolis_allogus","1",1
"Anolis_altae","1",1
"Anolis_alumina","1",1
"Anolis_alutaceus","1",1
"Anolis_anatoloros","1",1
"Anolis_angusticeps","1",1
"Anolis_annectens","1",1
"Anolis_aquaticus","0",1
"Anolis_argenteolus","1",1
"Anolis_argillaceus","1",1
"Anolis_armouri","0",1
"Anolis_auratus","1",1
"Anolis_bahorucoensis","1",1
"Anolis_baleatus","1",1
"Anolis_baracoae","1",1
"Anolis_barahonae","1",1
"Anolis_barbatus","1",1
"Anolis_barbouri","0",1
"Anolis_bartschi","0",1
"Anolis_bicaorum","1",1
"Anolis_bimaculatus","1",1
"Anolis_biporcatus","1",1
"Anolis_bitectus","1",1
"Anolis_bombiceps","0",1
"Anolis_bonairensis","1",1
"Anolis_boulengerianus","1",1
"Anolis_bremeri","1",1
"Anolis_brevirostris","1",1
"Anolis_brunneus","1",1
"Anolis_capito","1",1
"Anolis_carolinensis","1",1
"Anolis_carpenteri","1",1
"Anolis_casildae","1",1
"Anolis_caudalis","1",1
"Anolis_centralis","1",1
"Anolis_chamaeleonides","1",1
"Anolis_chloris","1",1
"Anolis_chlorocyanus","1",1
"Anolis_christophei","1",1
"Anolis_chrysolepis","1",1
"Anolis_clivicola","1",1
"Anolis_coelestinus","1",1
"Anolis_confusus","1",1
"Anolis_conspersus","1",1
"Anolis_cooki","1",1
"Anolis_crassulus","1",1
"Anolis_cristatellus","1",1
"Anolis_cupeyalensis","1",1
"Anolis_cupreus","1",1
"Anolis_cuvieri","1",1
"Anolis_cyanopleurus","1",1
"Anolis_cybotes","1",1
"Anolis_darlingtoni","1",1
"Anolis_desechensis","1",1
"Anolis_distichus","1",1
"Anolis_dolichocephalus","1",1
"Anolis_equestris","1",1
"Anolis_ernestwilliamsi","0",1
"Anolis_etheridgei","1",1
"Anolis_eugenegrahami","0",1
"Anolis_euskalerriari","1",1
"Anolis_evermanni","1",1
"Anolis_extremus","1",1
"Anolis_ferreus","1",1
"Anolis_festae","1",1
"Anolis_fitchi","1",1
"Anolis_fowleri","1",1
"Anolis_fraseri","1",1
"Anolis_frenatus","1",1
"Anolis_fuscoauratus","1",1
"Anolis_garmani","1",1
"Anolis_garridoi","1",1
"Anolis_gemmosus","1",1
"Anolis_gingivinus","1",1
"Anolis_grahami","1",1
"Anolis_griseus","1",1
"Anolis_guafe","0",1
"Anolis_guamuhaya","1",1
"Anolis_guazuma","1",1
"Anolis_gundlachi","1",1
"Anolis_hendersoni","1",1
"Anolis_heterodermus","1",1
"Anolis_homolechis","1",1
"Anolis_huilae","1",1
"Anolis_humilis","1",1
"Anolis_imias","1",1
"Anolis_inexpectatus","1",1
"Anolis_insignis","1",1
"Anolis_insolitus","1",1
"Anolis_isolepis","1",1
"Anolis_jacare","1",1
"Anolis_jubar","1",1
"Anolis_kemptoni","1",1
"Anolis_krugi","1",1
"Anolis_laeviventris","1",1
"Anolis_leachii","1",1
"Anolis_lemurinus","1",1
